play_id,time,action_type,lon,lat,title,artist,user_id,platform,source_name,device,ip_address
3000001,2013-12-07T07:51:22Z,PLAY,108.0696,-7.3137,Mrs,Oasis,1111,Ios,Spotify,Apple,102.112.248.110
3000002,2015-04-14T01:53:11Z,PLAY,108.4502,-7.1597,Mr,Oasis,1112,Ios,iTunes,Apple,42.9.124.102
3000003,2013-11-15T05:27:12Z,PLAY,16.46738,50.08601,Rev,Oasis,1113,Ios,Android,Apple,50.237.56.25
3000004,2013-11-21T15:30:21Z,PLAY,16.46738,50.08601,Mrs,Oasis,1114,Ios,Spotify,Apple,67.254.185.93
3000005,2015-04-29T12:52:34Z,PLAY,42.70355,37.14805,Rev,Oasis,1115,Ios,iTunes,Apple,128.125.128.244
3000006,2014-05-12T08:22:14Z,PLAY,43.9688,13.88953,Mrs,Oasis,1116,Ios,iTunes,Apple,229.138.112.207
3000007,2014-09-19T12:42:57Z,PLAY,111.2295,-6.7094,Ms,Oasis,1117,Ios,Tidal,Apple,199.206.106.24
3000008,2014-09-13T02:59:35Z,PLAY,19.79487,44.82213,Rev,Oasis,1118,Ios,Spotify,Apple,223.163.78.80
3000009,2013-06-06T14:32:47Z,PLAY,16.99897,49.27747,Honorable,Oasis,1119,Ios,Android,Apple,242.64.36.191
3000010,2013-08-28T11:21:24Z,PLAY,45.5347,2.9726,Dr,Oasis,1120,Ios,7Digital,Apple,124.141.127.161
3000011,2014-03-12T02:48:14Z,PLAY,49.71681,40.53299,Rev,Oasis,1121,Ios,7Digital,Apple,73.186.156.217
3000012,2015-04-03T05:34:21Z,PLAY,-78.06139,-6.11167,Mr,Oasis,1122,Ios,Spotify,Apple,252.86.71.154
3000013,2014-11-19T11:59:20Z,PLAY,111.3335,-7.0328,Dr,Oasis,1123,Ios,Android,Apple,115.63.255.234
3000014,2013-10-04T17:03:29Z,PLAY,120.51667,15.08333,Mrs,Oasis,1124,Ios,7Digital,Apple,38.5.212.138
3000015,2014-12-06T05:01:59Z,PLAY,52.0269,52.9407,Ms,Oasis,1125,Ios,7Digital,Apple,132.235.196.51
3000016,2015-04-09T00:09:31Z,PLAY,14.35,46.28333,Dr,Oasis,1126,Ios,Tidal,Apple,245.88.160.147
3000017,2013-10-09T11:39:01Z,PLAY,-101.2288,19.7912,Mr,Oasis,1127,Ios,Spotify,Apple,0.246.232.73
3000018,2013-09-12T12:53:07Z,PLAY,33.51667,-2.98333,Ms,Oasis,1128,Ios,Spotify,Apple,45.80.24.224
3000019,2014-11-19T09:10:10Z,PLAY,111.0864,-6.6989,Mr,Oasis,1129,Ios,Tidal,Apple,197.223.204.0
3000020,2013-12-23T20:26:01Z,PLAY,-77.46667,18.06667,Rev,Oasis,1130,Ios,Spotify,Apple,90.215.28.89
3000021,2013-08-08T20:57:14Z,PLAY,-73.98083,-13.0125,Rev,Oasis,1131,Ios,7Digital,Apple,161.75.228.44
3000022,2014-10-27T10:08:00Z,PLAY,121.1701,30.82985,Honorable,Oasis,1132,Ios,Android,Apple,6.236.106.38
3000023,2014-07-04T19:24:58Z,PLAY,113.10261,39.20052,Honorable,Oasis,1133,Ios,7Digital,Apple,218.54.127.236
3000024,2014-04-25T14:14:41Z,PLAY,-0.3667,43.3,Honorable,Oasis,1134,Ios,Tidal,Apple,84.115.195.40
3000025,2014-07-17T21:03:08Z,PLAY,17.8897,43.25822,Ms,Oasis,1135,Ios,Tidal,Apple,186.230.245.25
3000026,2013-09-16T20:18:25Z,PLAY,111.6636,-8.0607,Mr,Oasis,1136,Ios,iTunes,Apple,240.109.179.224
3000027,2013-11-26T14:42:01Z,PLAY,-8.475,39.6611,Ms,Oasis,1137,Ios,7Digital,Apple,39.109.197.204
3000028,2013-07-29T23:47:05Z,PLAY,-79.46694,22.52056,Mrs,Oasis,1138,Ios,Tidal,Apple,137.150.91.49
3000029,2013-08-12T13:14:45Z,PLAY,108.00759,14.35452,Dr,Oasis,1139,Ios,iTunes,Apple,154.117.83.255
3000030,2014-08-30T19:19:46Z,PLAY,-93.0527,16.5883,Ms,Oasis,1140,Ios,Spotify,Apple,143.3.233.7
3000031,2014-09-27T07:48:20Z,PLAY,120.3525,16.72222,Mr,Oasis,1141,Ios,Tidal,Apple,41.224.147.239
3000032,2013-07-03T18:01:13Z,PLAY,139.55665,35.70034,Ms,Oasis,1142,Ios,iTunes,Apple,28.105.14.128
3000033,2014-12-26T14:57:38Z,PLAY,119.4308,-9.6372,Mrs,Oasis,1143,Ios,Spotify,Apple,6.126.237.158
3000034,2015-04-03T01:54:14Z,PLAY,177.14511,-7.24562,Rev,Oasis,1144,Ios,Android,Apple,181.9.2.36
3000035,2013-11-04T07:47:19Z,PLAY,23.03387,63.72859,Mrs,Oasis,1145,Ios,7Digital,Apple,109.116.111.42
3000036,2013-10-17T20:31:33Z,PLAY,11.4954,64.0149,Ms,Oasis,1146,Ios,iTunes,Apple,112.85.254.37
3000037,2014-10-25T04:52:03Z,PLAY,10.9844,45.4299,Ms,Oasis,1147,Ios,7Digital,Apple,86.164.46.198
3000038,2015-01-15T14:17:23Z,PLAY,106.6195,-7.3152,Mr,Oasis,1148,Ios,Spotify,Apple,222.75.1.102
3000039,2015-01-05T22:33:18Z,PLAY,107.48688,29.55083,Mr,Oasis,1149,Ios,Tidal,Apple,22.47.197.219
3000040,2014-11-03T06:22:17Z,PLAY,21.425,42.04,Mrs,Oasis,1150,Ios,7Digital,Apple,171.163.173.93
3000041,2013-10-30T20:16:44Z,PLAY,-42.13111,-7.02528,Ms,Oasis,1151,Ios,Tidal,Apple,161.87.48.102
3000042,2014-11-24T14:51:40Z,PLAY,-80.41885,-1.27974,Rev,Oasis,1152,Ios,iTunes,Apple,58.240.77.117
3000043,2013-09-01T09:16:47Z,PLAY,113.29023,30.24576,Mr,Oasis,1153,Ios,Android,Apple,251.156.66.120
3000044,2013-08-15T18:36:19Z,PLAY,23.12553,37.4123,Mr,Oasis,1154,Ios,Android,Apple,41.181.63.161
3000045,2014-04-06T07:05:13Z,PLAY,-58.52869,-34.84787,Mr,Oasis,1155,Ios,7Digital,Apple,91.119.114.75
3000046,2013-06-24T12:26:37Z,PLAY,110.14211,18.67423,Mrs,Oasis,1156,Ios,Spotify,Apple,127.190.234.123
3000047,2014-02-12T21:35:33Z,PLAY,15.39465,49.31425,Ms,Oasis,1157,Ios,iTunes,Apple,154.68.126.167
